Activo,SMA,Banda,Semanas,X,Y,Logica,Sharpe_completo,CAGR_completo,MaxDD_completo,Rotacion,PeorAnio,Sharpe_2000-2009,CAGR_2000-2009,MaxDD_2000-2009,Sharpe_2010-2019,CAGR_2010-2019,MaxDD_2010-2019,Sharpe_ultimos10,CAGR_ultimos10,MaxDD_ultimos10
QQQ,100,0.01,26,8,2,AND,0.5386795047593268,0.0790513483992514,-0.2481745098334365,3.522091974752029,-0.1191628280523753,0.4943590150564229,0.0752804362437302,-0.1164993636994616,0.3316311512691853,0.0383500949014641,-0.2481745098334379,0.7245974534489414,0.1184798008625955,-0.2481745098334368
QQQ,100,0.01,26,8,4,AND,0.4824456833501436,0.0742297779162219,-0.2461859621457242,4.355275022542831,-0.1163937658029327,0.2537428485371393,0.0499181274822697,-0.2191665160126312,0.3900533471359838,0.0470039681116101,-0.2461859621457233,0.7730589322905848,0.1290091291053057,-0.2047389128968335
QQQ,100,0.01,26,8,6,AND,0.4571191184675521,0.07226895154544,-0.3149124780770622,5.3399458972046885,-0.117446811368655,0.1161202632837777,0.0340453197328733,-0.3149124780770622,0.4286430877222906,0.0527591340991979,-0.2425690958438351,0.7819833631344181,0.1327095369753967,-0.209718134713963
QQQ,100,0.01,26,8,8,AND,0.5007271520196702,0.0791598551840699,-0.2529223909026558,7.119927862939585,-0.0988822356688331,0.179704419266346,0.0419027482285876,-0.2529223909026558,0.4731685516746449,0.0589029359409694,-0.2326727550511084,0.8162863192492326,0.1405339744113038,-0.1846289185646431
QQQ,100,0.01,26,10,2,AND,0.5293112839407518,0.0789956769862383,-0.2576065068966995,3.787195671776375,-0.0930218205174693,0.5424067711808862,0.0815452726184544,-0.1144826014256545,0.3798286833902682,0.044438474057888,-0.2576065068967011,0.6129522053581501,0.1041254796056878,-0.2576065068966991
QQQ,100,0.01,26,10,4,AND,0.4604485300930459,0.072393584337798,-0.2325534274122845,4.54463480613165,-0.100413972281625,0.310941038125453,0.0573321225564082,-0.2191665160126303,0.3659521727305584,0.0442053713555898,-0.2325534274122845,0.6859594359878992,0.1178030045292846,-0.2097783695499993
QQQ,100,0.01,26,10,6,AND,0.4342092329222459,0.0701368228948911,-0.2887421742771795,5.074842200180343,-0.1373353978869831,0.1631981501148767,0.0399052567240851,-0.2887421742771795,0.4209545364986025,0.0520742743259445,-0.234556809621536,0.6949436760934454,0.1212972711617292,-0.209718134713963
QQQ,100,0.01,26,10,8,AND,0.4601318297816134,0.0744786935781156,-0.2569928550516571,5.605049594229035,-0.1358241379439259,0.207834154128002,0.0456404039038038,-0.2569928550516571,0.4509819968521188,0.0563194350024094,-0.2345568096215355,0.734051346009979,0.1298378616949103,-0.1809856005635733
QQQ,100,0.01,26,12,2,AND,0.4875497374167715,0.0753875626952451,-0.2395812433031191,4.468890892696122,-0.1105082903699372,0.2642924646603176,0.0510961756606549,-0.2395812433031191,0.4537486622010306,0.0551630979098061,-0.191659741346526,0.723755152780929,0.1238625950690615,-0.1881422101473679
QQQ,100,0.01,26,12,4,AND,0.4597095951347165,0.0735931553834288,-0.2516992254748741,4.84761045987376,-0.1142708803190794,0.1655641684894453,0.0400978908150164,-0.2516992254748741,0.4142611293586479,0.0510502945150963,-0.2325534274122844,0.7677349008596495,0.1340904544356478,-0.1990178876437647
