Date,Adj Close,Close,High,Low,Open,Volume
1993-01-29,24.05352210998535,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.2246150970459,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.275920867919922,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.532546997070312,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.63519287109375,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.618091583251953,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.618091583251953,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.44701385498047,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.481225967407227,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.600963592529297,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.412799835205078,44.59375,44.875,44.59375,44.875,42500
1993-02-16,23.796916961669922,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,23.779804229736328,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,23.762706756591797,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,23.84823226928711,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,23.933774948120117,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,23.91667366027832,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.2246150970459,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.275920867919922,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.310142517089844,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.24171257019043,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.600963592529297,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,24.70362663269043,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.56675910949707,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.49835777282715,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.045791625976562,45.75,45.75,44.84375,44.84375,50800
1993-03-09,24.960237503051758,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.01156234741211,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,24.943134307861328,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,24.6865234375,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,24.8062801361084,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,24.8062801361084,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.65229606628418,45.03125,45.25,44.96875,45.25,21800
1993-03-18,24.8062801361084,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,24.768718719482422,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.631237030029297,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,24.68277931213379,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,24.68277931213379,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,24.837501525878906,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,24.699989318847656,44.90625,45.15625,44.875,45.125,101500
1993-03-29,24.803098678588867,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,24.871868133544922,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,24.85466766357422,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,24.768718719482422,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.253076553344727,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.373397827148438,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.304651260375977,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.390581130981445,44.34375,44.34375,44.15625,44.25,28000
