Activo,SMA,Banda,Semanas,X,Y,Logica,Sharpe_completo,CAGR_completo,MaxDD_completo,Rotacion,PeorAnio,Sharpe_2000-2009,CAGR_2000-2009,MaxDD_2000-2009,Sharpe_2010-2019,CAGR_2010-2019,MaxDD_2010-2019,Sharpe_ultimos10,CAGR_ultimos10,MaxDD_ultimos10
SPY,100,0.01,39,8,8,AND,0.5256920004437411,0.0788159931549381,-0.2668967134905347,5.228853899670451,-0.2149352929720698,0.1975411349976758,0.0408093418099242,-0.1673764455210519,0.4702567104877755,0.0495206074922844,-0.1883999150420638,0.7613026756260471,0.1037857093808147,-0.1472476236462486
SPY,100,0.01,39,10,2,AND,0.4674430059926693,0.0698658180739189,-0.2567436580230657,3.8139875503478575,-0.1791706515816141,0.1444812632015158,0.0357249810548057,-0.1294451991249144,0.3771546129303217,0.0375748788513379,-0.1749234766051176,0.8154262815594365,0.1032128904226628,-0.170796730293367
SPY,100,0.01,39,10,4,AND,0.4908986933522324,0.073706455797448,-0.2434784933598687,4.121567191504943,-0.1898572194395772,0.1574094680816729,0.0370179224191087,-0.1407791541931071,0.4243766683778745,0.0432356617139171,-0.1928457499551676,0.6974363111957906,0.0943785585510683,-0.192845749955168
SPY,100,0.01,39,10,6,AND,0.5039600679812277,0.0759720532991172,-0.2668967134905359,4.306114976199194,-0.2149352929720706,0.1592857335527957,0.037367788012347,-0.1673764455210519,0.4919698828849728,0.0510257140432612,-0.1556873256931991,0.6967019619337836,0.0962086721153705,-0.1632599860462816
SPY,100,0.01,39,10,8,AND,0.5237005835454289,0.0788124288707681,-0.2668967134905347,4.552178689124864,-0.2149352929720698,0.1948549975673228,0.0405722771656977,-0.1673764455210519,0.4695062495769325,0.0497160091623098,-0.1857750595445451,0.7554512945008643,0.1038133122785596,-0.1472476236462486
SPY,100,0.01,39,12,2,AND,0.456390540959818,0.0694247609451224,-0.266896713490535,4.060051263273526,-0.21493529297207,0.0870250461431481,0.0309918748062485,-0.1673764455210519,0.3481667890943634,0.0353169102130954,-0.1886380883898568,0.7771869583161484,0.1008101725874786,-0.1886380883898581
SPY,100,0.01,39,12,4,AND,0.4927526702816049,0.0741776509830478,-0.2668967134905343,4.18308311973636,-0.2149352929720696,0.11771386872232,0.0336707011487353,-0.1673764455210519,0.4490865583655958,0.0459813864616702,-0.1713831970906842,0.73753651791079,0.0994043027233422,-0.171383197090684
SPY,100,0.01,39,12,6,AND,0.511657176400311,0.0772774086055982,-0.2668967134905359,4.244599047967777,-0.2149352929720706,0.1592857335527957,0.037367788012347,-0.1673764455210519,0.4463949396124652,0.0468770756361718,-0.1595266634574392,0.7624811654135998,0.10491352001692,-0.1632599860462816
SPY,100,0.01,39,12,8,AND,0.5469943002856628,0.0817697710454534,-0.2668967134905347,4.306114976199194,-0.2149352929720698,0.1948549975673228,0.0405722771656977,-0.1673764455210519,0.497030724632717,0.0530644301981664,-0.1900389143412403,0.8045407437793511,0.1101610088276894,-0.1472476236462486
SPY,100,0.01,39,15,2,AND,0.4663893378118368,0.0706386143275841,-0.266896713490535,4.121567191504943,-0.21493529297207,0.0870250461431481,0.0309918748062485,-0.1673764455210519,0.4082479010544915,0.0415473985226673,-0.1886380883898587,0.7514903462065775,0.0982727524483009,-0.1886380883898581
